id_EXIST,lang,tweet,label,label_id
200021,en,you ever get so mad at your ex you send gamergate misogynist memes about about her to your 60 million fash followers https://t.co/TO1Br7kDJp,JUDGEMENTAL,2
200022,en,"In other words; the games journo industry, who basically knew the entire time, are complicit? That can't be right. 🤔It's gotta be something to do with the misogynistic gamergate boogeymen. https://t.co/ql4UsT7UHI",JUDGEMENTAL,2
200023,en,"@JavedLSterritt He's really shit on games journalists, from what I remember starting at the tail end of gamergate. He's clowned on developers that used Unity in the past. It's honestly been awhile since I've closed followed its hard to pick out specific examples",-,0
200024,en,"Low key, she was fr created because the Incredible Hulk tv show gonna do it first and Marvel wanted them rights. But these gamergate dudes need to stop. https://t.co/ssh1FlyjuR",-,0
200025,en,"One of the most important (and of course, undervalued) pieces ever published on combatting white supremacy and fascism.https://t.co/mjiYw3q1Di",-,0
200026,en,"@HKesvani It's especially weird because the alt-right on YouTube is older than Breadtube, which was a reaction to RW gamergate content.",-,0
200027,en,"@Women_Truths Well, they're kind of shooting themselves in the foot by injecting political drivel into entertainment. By pushing stress into escapism, you impassion people by stripping them of their release...thus spawning movements like GamerGate, ComicsGate, etc... People pushing back. (c)",-,0
200028,en,@Argumentaleon @BlazingTamaki @ColdCriti I don't even know who tf they are. Only know they were part of the whole gamergate shitstorm back in 2015.,-,0
200029,en,"as a person who lived through gamergate, these new generation incels bitching about #HorizonForbiddenWest Aloy's peachfuzz is not what I or my hairy russian futanari with shitting dick nipples hentai addicted brothers were fighting for.Give Aloy a beard and a huge cock.",DIRECT,1
200030,en,Anita as an asset? Damn I should've considered that. Her vs gamergate was one big spectacle https://t.co/x2k5KDnUt2,DIRECT,1
200031,en,@punishedmother I WANT TO GET OFF 2014I WANT TO GET OFF GAMERGATE'S WILD RIDE https://t.co/uJySrr4Gsr,-,0
200033,en,@QuarantinedCoof the dummy who tried bringing back gamergate is spending his time off from waiting tables pretending to know stuff.https://t.co/TNmF65RLOg,-,0
200034,en,"They still trying to grift that GamerGate money aren't they?This is what I call, ""terminally online"". https://t.co/YRfUsbteex",-,0
200036,en,"@belet_seri @CthuhluRisen You know for a movement that's about ""hating women"" I've seen a lot of support go out to the women who were sexually harrassed and a lot of them call for punishment of those involved, especially the journalists who know and kept it hidden for years even during gamergate",-,0
200037,en,It will just talk about games without bring twitter drama and gamergate bullshit into it any more but I used to love Jan Garbarek as a kid.,-,0
200038,en,The Russian bots are monitoring the situation involving Gamergate,-,0
200039,en,"It was amazing, @cliftonaduncan, and I know that anyone who might have been hesitant immediately fell in love with you when we started discussing “gamergate”! https://t.co/SLn7HMc5HU",-,0
200040,en,"@oliophi You have rage issues that manifest in an internet addiction. It at least started outwardly during gamergate and when that died you needed a new fix, you already had your views on trans people but we became the new vessel for your anger.You need help.",-,0
200041,en,recently i was verbally harassed by @nathansmokee when he said i was 5’2 and don’t have any bitchesi’d like to clarify this is true but very mean,DIRECT,1
200044,en,@okhvii @jouwswa @Ninja @CouRageJD Bro you just harassed him,-,0
200045,en,"No two completely different situations, teacher had broken up the fight, it was over. Simpkins went to his bag, pulled out his handgun and fired. Simpkins claimed he was being harassed but the police have stated this was gang related. So good try but no dice. https://t.co/PxpO2CCiN3",-,0
200046,en,"Wheel of time got a trailer released for amazon that looks horrible, went in to try and soften the blow, got downvoted and harassed by them for saying it looks like a CW show lol #GoT #GameofThrones https://t.co/OhgdlRVZR8 https://t.co/7YbMkZ29cM",-,0
200048,en,"@TheLlamaFiles @hazelpress A serious hardcore #Assange groupie who JA invited to the Ecuador Embassy. Stalked, harassed and bullied journalists and members of the public who were critical of JA. Went rogue after Trump election and leaked a huge trove of #Wikileaks chat logs to Micah Lee at the Intercept",-,0
200049,en,"@AlexVickeryHowe @SteveBoyd0704 @neiljmcevoy @Therumblebear That would matter if anyone was being abused or harassed. But no one was, so it's just yet another bogus claim from a guy with no reliable statistics, research, or proof.Unless you have more bullshit to post, I'll be waiting for your retraction and apology. https://t.co/l7JnSToWxp",-,0
200051,en,"@multimultatuli @McKittenCat @BrynnTannehill @MargaretAtwood How is it not about safety? Do you know how frequently trans women are sexually harassed? Despite most of them avoiding public restrooms, it's still pretty bad.",REPORTED,3
200052,en,"@KittyBatSasha @misesinst @thisgirl_13 @PanvidyaMagnus @Mayor_McCheeze_ In other places like Europe, there are Muslims who made it hostile to live peacefully and some made their way into govt. I have a Dutch friend who got spat on and harassed while walking her dog. The neighborhood she lived in got so bad she was forced to move",REPORTED,3
200053,en,"Anyway, as I said up this thread is for the handful of ppl that follow me that will care. For everyone else you can do/say whatever about me I really don’t care anymore. Too many good ppl have been harassed or felt the need to leave bcuz of this fandom. I won’t let them get to me",-,0
200054,en,this poor waiter being harassed by six 30-something women i feel bad for him,-,0
200056,en,"@cmaconthehill Who harassed the news team, the cops or the protester?",-,0
200057,en,@Shxrman1 @Josh_SilentHill I understand you're trying to be nice and stuff. I hope you give that block button more love because it's a tool that helps make you more comfortable on social media and enjoy not being harassed or seeing content you don't like.,-,0
200058,en,"@subrozabackward @OnFireSemmler You're given the same chance if you prove you belong at the top. Women is harassed and therefore a lot don't see it as a career worth pursueing. Most people just want to scrim against a team of equal skill, only a Minority finds it to be a waste of time. Most don't care.",JUDGEMENTAL,2
200059,en,Journalists continue to be attacked and harassed by the Taliban. Their latest victim is Qais.https://t.co/23csDq8sKE #pressfreedom,-,0
200060,en,"@T_Giarratano My situation is completely different But I feared seeking help because my ex-husband stalked /harassed, is still abusive, etc.. and I was scared he would use it as a weapon against me, which he does He filed a RFO, w/ defamatory allegationsjudge told him Fk off - again",REPORTED,3
200061,en,"@X95Boy @DynamoSuperX the only people who do this are MGTOW groups who propagate these myths so they don't actually have to address gender issues and sit in their bubble and screech about things they don't understand, so in short, you don't actually know what you're talking about",JUDGEMENTAL,2
200063,en,"@LibertyAnders I get it.. kind of. 80% of women are going after about 20% of men and ignoring the rest according to statistics of 3 dating apps. so that’s a pain point for some men, but Is hating women really a main component to being an incel? And what’s the difference between MGTOW and Incel?",JUDGEMENTAL,2
200064,en,"@jyotitiwari05 MGTOW ka India Wing bhi hai kya, if Yes then They would need more traction. Baaki Pro-Male Andolan ki reach bahut kam hai IMO.",-,0
200065,en,Now the MRA/MGTOW/INCEL crowd will double up on their online woman-hating angries.Because it's usually Women who turn these chomos in. Who then run and hide in the prison church. Then get out and find a new career in Qristianity. And abuse people again. https://t.co/OIIkwtU8ND,DIRECT,1
200066,en,"black femcels, nigcels, hoteps, d!vestors, femininity nuts, black luxury ppl, black mgtow &amp; other online groups fascinate me LOLthe way they twist legitimate ideas abt race and oppression to fit their catastrophizing worldview + inform behavior that leads them back to ws is…",DIRECT,1
200067,en,950 IQs Mom and Dad also have no way out. These MGTOW JP followers do not know what makes relationships stable. It is not always NO WAY OUT.Biggest reason for stable marriages in previous generation is that they got married early. https://t.co/lZblLGyFeL,-,0
200068,en,@LeeSpring_ @datoncefromthad I had to look up MRA and MGTOW. What???? https://t.co/asTGY5ARUc,-,0
200069,en,@EagleAvenging If you know anything about the ever-growing MGTOW movement You know that it is made up of menwho are in their early 30s who refuse to put up with the ups and downs of being in A relationship,-,0
200070,en,"@PhilMitchell83 I'm having a hard time dealing with the pervasiveness of misandry in society. Seeing shit like that all the time makes checking out more and more appealing everyday. (The #MGTOW way, not the suicide way)",-,0
200071,en,international men's day#internationalmensday #mensrights #mentoo #meninist #men #antifeminism #equality #feminism #himtoo #mgtow #mra #masculinity #mensday  #meninism #antifeminist #boys  #positivity #promasculinity #malepositivity #boypositivity #sawan #anaant #sawanwankhade https://t.co/kutWOHf38A,DIRECT,1
200072,en,"@ruchard3241 ""Some"" is a key word in mine LOL. It wasn't a minority, and I also didn't generalise them as incels. I said that incel and MGTOW culture is getting close to the Black community, because they may not be incels, but it's a road, and their line of thinking could take them there.",-,0
200073,en,"Is ""Alpha Male"" a movement? Something like MGTOW??",-,0
200074,en,sou based cria redpill mgtow blackpilado frio patrick bateman kanye west drive (2011) blade runner mas tudo isso ironicamente,-,0
200075,en,"@jwalverson10 @Keds1250878727 @rpcommunication @tribelaw @CNN Women already suffer for sexual contact. Much of it is not consensual, as was pointed out earlier.Why not hold men to the same standard?Oh, right -- you're one of those MGTOW arrested adolescents",REPORTED,3
200076,en,I have another article this month! This one will be controversial because it deals with MGTOW... Is it hate speech? Do they hate women? Are they dangerous? Check the answers in this post... https://t.co/HrP9YstClw,REPORTED,3
200077,en,so dating a man is inherently racist cause you are dating your oppressor? 🤣😂 how do these fuckin idiots think they all got here? a stork dropped them off? lol  you wonder why men subscribe to the idea of MGTOW is because of dumb shits like that far leftist lunatic ..ffs https://t.co/DgFpb8XCKr,-,0
200079,en,Thank you for promoting MGTOW #MarriageStrike https://t.co/Sfo7QB1afx,-,0
200080,en,"@itsallbollocks @hunkybloodydory We ALL do Steph. It's 1.01 black pill, MGTOW incel 21st century ""Bro's Before Ho's"" playbook chapter one dating survival guideDON'T go into DETAIL about the TASTE of the WAAAAAATER. It's an Argument Starter!",-,0
200081,en,"@TerfStation @LabelFreeBrands Well, #notallmen. Avoiding your face becoming a baseball glove should be in every man's interest.Bring back the metrosexuals! You can use nice products without being gay or Trans!We mocked the metrosexuals, now look what have",-,0
200082,en,What are your stories notallmen as we share ours and you’re in them. If you don’t recognise yourselves then mace and legislation or your tweets telling other men to listen honestly don’t matter. It starts with you. What have you and your mates done that you now know is not okay?,-,0
200083,en,@Jojobajojoba123 @Pabel5Pabel @lazyjoolz @reallorraine Cos it doesn’t happen and if it does why should all trans women be vilified for the few outliers? If it’s #notallmen then it’s #notalltranswomen too. Either all men get castrated cos they can’t stop raping or we simply just educate people that rape is bad instead😁👍,JUDGEMENTAL,2
200084,en,In before the replies of- “I’m a man who goes to therapy”- Follow up jokes that miss the mark- #NotAllMen- #NotAllWomen,DIRECT,1
200085,en,It's patriarchal world. Women can have no job yet can live on her own. Not  men. #NotAllMen,DIRECT,1
200086,en,@formulamaja Remember the time Lewis accused @f1 of not doing enough about racism and he came up with a #NotAllMen kind of response? 🤣,-,0
200088,en,#NotAllMen have a penis. Not all women have a vaginaNot all folks ascribe to the binary,-,0
200089,en,"@BonfireBlaze Why am I still like 'wow, guys STILL publicly say this shit in 2022'??? Clearly there's some small glimmer of hope in me that needs to be quashed immediately. Queue the notallmen brigade🙄",-,0
200090,en,"This is also a very good explanation for why privilege can blind a person to oppressionThey do not feel disadvantaged because the predators/opperssors look/act exactly like they would, &amp; so feel threatened by accusations possibly because they have good intentions e.g #notallmen https://t.co/zDVaQVAXAj",-,0
200092,en,"obviously #NotAllMen but sorry, the Fisher exact test leaves no doubt",-,0
200093,en,Stop saying #NotAllMen embarrass the fact yes its men carry the guilt for the all the mischievous done by those bastards until the females realize themselves its #NotAllMen,DIRECT,1
200094,en,Notice how civilian men who don’t hold any political power in their country keep tweeting “we” are doing this/that? This isn’t COD. War isn’t a Friday night twitch channel. You’re tweeting from home. #UkraineRussiaWar #CallofDuty #NotAllMen #antiracist #antiwar #veteran,-,0
200095,en,"Am I the only one who reads #notallmen as no_tall_men? Not making any deep points here, just confused (not an infrequent occurrence).",-,0
200096,en,@MaryBurtty @DurgeDiggler @Yascha_Mounk let’s look at your retweets:nintendo switchsportsnotallmenwow you’re really hitting hard on the social commentary! how could i keep up?stop fronting and just be honest with yourself. “still figuring things out” is the only truthful thing you’ve ever said.,-,0
200097,en,"@Kon__K #AllMen need to step up their game because #NotAllMen can be trusted to keep their own behaviour in check.If a schmuck like me can be a decent(ish) human being for 51+ years despite many, MANY instances of not being sober and/or in a legal frame of mind, you can do it too...",-,0
200098,en,"The #notallmen tag is currently trending in NL. I know it's not all men, but it is heckin' hard to trust men when you've had men you know as well as random strangers force themselves onto you or touch you without consent.Just putting it out there. Watch the video below. https://t.co/3uS00j158m",JUDGEMENTAL,2
200099,en,This is why #notallmen can suck a d*ck. Treat every gun like it’s loaded and treat every man like he might strangle you. Simple as that. https://t.co/yoDzZjL7zT,JUDGEMENTAL,2
200102,en,An excellent thread on how the patriarchy deforms men's souls and damages their lives. https://t.co/hQ16C565CT,-,0
200103,en,"okay but what if it was two women saying ""fuck the patriarchy""... that would actually be so sexy of them",DIRECT,1
200104,en,you were tossing me the car keys fuck the patriarchy pee stain on the ground,-,0
200105,en,"Rep. Ayanna Pressley, D-MA, claimed that recent #abortionbans are rooted in a patriarchy and #whitesupremacy. Conservative activist Ryan Girdusky pointed out that nearly all of the nations in Africa ban abortion. ""Are they pro-white supremacy?” he asked.",-,0
200107,en,"@WhiteHouseGPC Patriarchy sits at the intersection of control of Women, property &amp; war - explain how non discrimination based on “gender” protects Women from #RapeCulture https://t.co/SiiRguwGa2",REPORTED,3
200109,en,@afrodykee Blackness is not a shield for men to protect themselves from criticism. Especially men ignorant of all the patriarchy in non white countries. Female babies are aborted in China. Women are isolated in menstruation huts. Breast ironing. FGM. POC know what sex is.,REPORTED,3
200111,en,"@SusanLynch22 @jgindel @ResisterSis20 @momsbsm1 @Headerop1 @yoksig @jkf3500 @DearAuntCrabby @embeessem @CheckBalance7 @P4boxers @openpodbaydoor_ @ZEphotographic @KendraDrake94 @HickoryFlatG8r @McFaul @skewermann @SuzieBird4 @Suzyqfit4u @LightfootInHwd @katalva3 @HeathenResister Because a bronze age tribal patriarchy is a good model for a modern, technological society, right? https://t.co/Nria61qXiC",-,0
200112,en,"@clairlemon @Brooks_Rob Yes. Because a controlled supply of sex is a good thing, ya heathens.No one is happier about open sex and easy women than the patriarchy. I’ll tell you that much.",JUDGEMENTAL,2
200114,en,"Transphobes are so weak and cowardly that instead of going after real misogyny &amp; the patriarchy, they resort to targeting a different vulnerable group and become the abusers themselves in order to feel powerful. I see you. The bullied becoming the bullies isn't a cool look. https://t.co/bjTsJ2a77L",DIRECT,1
200115,en,"Idk it’s just different. Maybe due to ingrained patriarchy or something. I use to tell my bm I’d love to watch her fuck a girl, but another nigga? Hell nah https://t.co/NM5T8FvCTC",DIRECT,1
200116,en,"@iguessnotidk ""You're not God or my father, OR my boss""Ah yes, the three genders of the socius, a summary of universal history. The primitive code of the earth, the despotic overcode whose royal incest establishes the patriarchy, and the civilized capitalist machine",-,0
200117,en,@kintsugery @dovesummer1 I really liked it! Don’t expect traditional horror - it’s more of a terrifying folk tale. Very atmospheric and a fascinating critique of patriarchy.,-,0
200118,en,"They can fight for Hijabs but not against Triple Talaks, Four Mariage rituals, even when they are excluded from education, exploitation, marital violences,they don't protest, they like to live in patriarchy... I hope they fight for following matters too #HijabRow",JUDGEMENTAL,2
200119,en,"The whiskey and cigars, the $99 dollar seminars, the mustache wax, the secret societies, the 'we need a patriarchy' discourse...into the trash it goes. If you're feeling a crisis of manhood then just be handsome and stop talking, or at least stop talking like *that*",-,0
200120,en,"I would be glad to see the violence on TwitterNG over the next couple of weeks.Both Patriarchy and Misandry FCs are in top form, and they are prepared to go nose-to-nose. 😂😂😂Let's have it.",-,0
200121,en,"@ProteanRedux @HugoThePinkCat @DeclarationOn @BBCPolitics ActionAid conducted a survey on street harassment - They found that 79% of women living in cities in India, 86% in Thailand, and 89% in Brazil have been subjected to harassment or violence in public, as had 75% of women in London, UK. https://t.co/JL0FUYjpwC",REPORTED,3
200122,en,Over 400 people used our #streetharassment helpline this year. You can donate $10 or more to fund it in 2022 &amp; help more people! https://t.co/2ySc4VzqZh #GivingTuesday #stopstreetharassment,-,0
200123,en,@bitsofplastic @SackDCummings @GemSpoiledLefty @unionlib https://t.co/nO0n0cOMhOTLDR: 81% of women and 43% of men reported experiencing some form of sexual harassment and/or assault in their lifetime.So it happens and I could be bothered looking.,-,0
200124,en,"Explore photos and excerpts from the conversations to learn how activists view advocacy, allyship and accountability within the movement. And check out @catcallsofchicago on instagram!#CatCallsOf #StopStreetHarassment @thelilynews https://t.co/sT9TxMhCmH",-,0
200125,en,@DaOlhead @taylrmaharaj @TheyHateNoelll @sixthgodtalk https://t.co/KwvW4MmUXR I will leave this link here :) this is the GLOBAL statistics for street based harassment ONLY. You’d be shocked as a man to see how high the numbers and percentages are.,REPORTED,3
200126,en,"Thousands of girls and young women have shared their stories. Stories of group harassment, of violence – showing they’re #UnsafeontheStreets.#StopStreetHarassment 👇 https://t.co/31Qk3ubzRU",REPORTED,3
200127,en,"""Chalk Back: The Girl and Youth-Led Street Art Movement to #StopStreetHarassment"" by Natasha Harris-Harb and Sophie Sandberg. Read here: https://t.co/yVcVAwP9SO #girlhood @SophSandberg https://t.co/MVFM3tOkpf",-,0
200128,en,"Catcalls of College Park launched to spread awareness and spur dialogue about a culture of catcalling.  This harassment can has an impact on victims, and restricts women's engagement in civic life.  Every woman has a street story.  What's yours?  #chalkback #stopstreetharassment https://t.co/kjJ2pgkEGR",REPORTED,3
200129,en,Always relevant. Fim by Maureen: https://t.co/WgkSweGvln #stopvictimblaming #stopstreetharassment #boos,-,0
200130,en,"We’re speaking out against #streetharassment April 3-9! Join us by using #stopstreetharassment, chalking pro respect messages, flyering &amp; speaking to friends about why this issue must end! (1/2)",-,0
200131,en,#Catcalling is #Harassment. It's Not a Compliment. It's never okay. #feminist #feminism #stopstreetharassment https://t.co/g5nJy12sIl,REPORTED,3
200132,en,@buslobharosa @StopStHarassmnt @obossheffield @OurStreetsNow @CallOutStalking @WomComMatters @DurgaIndia1 @safeandthecity @safetipinapp @SpurthiKolipaka so important for us to take a stand ✊🏾 #Solidarity #StopStreetHarassment,-,0
200133,en,"""However, in my experience, when we share our unique stories and come together as a community, we create powerful conversations and cultural change."" https://t.co/zxd3inLLdj #mentalhealth #activism #stopstreetharassment https://t.co/Mhsq3JVr0y",-,0
200134,en,Have a story of street harassment you’d feel comfortable sharing? Send us a DM or email us directly at itsnotacomplimentmelbourne@gmail.com. #yourvoicematters #stopthestigma #speakup #stopstreetharassment #itsnotacompliment https://t.co/hx2p5lwjNT,-,0
200135,en,"[1] — Stop Street Harassment, 2018 study on sexual harassment and assault. https://t.co/bnDBWNWJfJ",-,0
200136,en,“Accountability is not a 'sorry'- it is action. It is deep self reflection and change of behaviour.” - Natasha @KurlyCrusader and Maya @catcallsofottawa https://t.co/ZMZQy9oUS4 Photo by @CheerUpLuv #StopStreetHarassment #16Days https://t.co/w2HfNOJ1v4,-,0
200137,en,@ThePragmatist5 @JonDoeLives I don’t know where this was but some states do have laws against this sort of behavior.https://t.co/DPQ5U8kx7K,-,0
200138,en,"""...a man is entirely responsible for his own actions."" #LundyBancroft #EndViolenceAgainstWomen #stopstreetharassment",-,0
200139,en,"TW /////// PedophiliaJust a few of the stories from our chalking event last week.“Show me what those hands can do.” said to an 11 y/o“I bet you’re so tight, I’d love to fuck that.” said to a 9 y/oGet pedophiles off the street. #StopStreetHarassmenthttps://t.co/Ds5kP5qw1g https://t.co/hGs9Jok0PU",REPORTED,3
200140,en,Be an Upstander today and everyday. #stopsexualharassment #stopstreetharassment #BullyingPreventionMonth2021 https://t.co/oYBGVggprW,-,0
200141,en,What matters is the functioning of the human right theory. Humanity matters for Tigray &amp; Tigreans!!!#HumanRightsDay #HumanRights #WeAreEqual #FightAgainstInequality #changemakers #ChangetheGameAcademy https://t.co/HFNJnKewrH,-,0
200142,en,"@NathanY06430573 @NadineDorries @HuddlestonNigel @DCMS 301 days. Even under the intense pressure of being discriminated against &amp; trying to get his &amp; all deaf athletes voices heard, this fantastic young athlete reminds us #StandWithUkraine #WeAreEqual",-,0
200143,en,I will not go to school without  my sister. I support my sister. #WeAreEqualSays an Afghan boy. True man. Wise human who knows the sequelae of excluding half of society.Education for all Afghan https://t.co/kaHCyG4pUh,-,0
200144,en,when Pakistani army's go to BTS concert 💜💜💜#weareequal,-,0
200145,en,Sex Pistols - God Save The Queen #AbolishTheMonarchy #WeAreEqual https://t.co/U0A5KQgeCa via @YouTube,-,0
200146,en,DJ'ín is just as important nonetheless!Come Lock into Slimzosrecordings Livestream on instagram Thursday evening from 7pm UK time and i will try to prove my claim!!#WeAreEqual #DJ #PRODUCER #MC #ARTISTS https://t.co/rx5bCBFexI,-,0
200147,en,@confusionhumain Society's set norms!Happy men's day though!#weareequal,-,0
200148,en,There is no place for #racism in this world! #WeAreGlobal #WeAreOne #NoH8 #WeAreEqual #NousSommesEgaux! https://t.co/WziipkEVaC https://t.co/czCWzvaXD1,-,0
200149,en,Abolish The Monarchy https://t.co/zSAmYOktHz via @YouTube #WeAreEqual#AbolishtheMonarchy#EndtheMonarchy#LiztheLast,-,0
200150,en,With growing demand for the president to resign. We gotta wonder when will he learn? #WeAreEqual STOP BEING VIOLENT! https://t.co/q7VQM9DdvS,-,0
200151,en,"No child will ever walk 10km to school. Gogos (Makhulu) won't hire bakkies for clinic visits, motorists won't have to drive to town for fuel etcNB: Not meant to offended anyone, its merely a suggestion. I stand to be corrected!!!#noonestaysbehind #weareequal",-,0
200152,en,💯 #WeAreEqual. Good ol’ Albert 👏🏻🙌🏻 https://t.co/kxSr1xQ3jw,-,0
200153,en,"Spending some time in #accara Ghana! Such a fun place to spend this fine day August 27, 1963. Wonder how the Civil Rights March will go tomorrow. I know my bois will kill it! #fightforurrights #endracism #weareequal https://t.co/G9RWosLbIi",-,0
200154,en,"And Nobody Does Anything While Pleople Dying! Why This Cruel Indifference, Why! #WeAreEqual #TheFundamentalRespectOfHumanRights #FoodForAll #WaterForAll #SaveTheAfricaFromExtremeDrought #LetsNotLeaveThemAlone #ToGiveAHand #SolidarityNotCharity #ClimateActNow",-,0
200155,en,AHhHhhh. My hands gave grown tired from all the writing😅. But I am so grateful to announce the publication of my second work🔖. Ladies don´t jump off your seat do get ready for ¨Some reflections upon marriage¨!!! Go get your copy now! #weareequal XOXO 👏👏👏-1700,-,0
200156,en,In the mood for a DIY spa day? Pamper yourself and your skin with luxurious yet affordable Equal skincare products.Include Equal products in your skincare regime today!#Equal #WeAreEqual #PersonalCare #GenderNeutrality #Skincare #Haircare #EqualCare #NaturalSkinCare https://t.co/u3INtWpyp3,-,0
200157,en,"Protesting again this Saturday 9am in front of Balise Toyota Scion, West Springfield Riverdale Rd and Sunday 9 am at intersection Birnie Ave and Prospect…#TruthMatters #NomadarWhat #WeAreEqual @baliseautogroup @MassAGO @JoeBiden @jubileeoutreach",-,0
200158,en,"On the anniversary of women gaining the right to vote and stand for office in politics in Turkey, we proudly declare that we respect the rights of all women, starting with our associates in our workplaces, and we act together to build a more equal world.#boyteks #WeAreEqual https://t.co/ffjmQOKboe",-,0
200159,en,"STRIKE STRIKE STRIKE! ❌❗️🚫              We need to stand up for women's rights! Women deserve equal pay and equal rights! The Triangle Shirtwaist Factory needs to have better working conditions, WE NEED TO BE EQUAL!#STRIKE #EqualPay #WomensRights #WeAreEqual",-,0
200160,en,"100 followers! My heart goes out to the @JungleFreaksNFT community, as it has shown to be THE MOST INCLUSIVE AND SWEET group ive ever came across on the internet❤️‍🔥❤️‍🔥! Shoutout to @canali_fabio for being my 100th follower♥️! #freaksfollowfreaks #weareequal",-,0
200161,en,Caption exist in post! 😀 Happy Men's Day ❤️..#nooffence #peaceout..#MensDay #InternationalMensDay #MensDay2021 #november #mensdayquotes #InternationalMensDay2021 #mensrights #womensday #menhavefeelingstoo #strongmen #men  #nonutnovember #menwithclass #menscommunity https://t.co/jGp19Utc37,-,0
200162,en,"#womensday is around the corner — which means it’s time for a #campaign 🎉 that we’d love for YOU to be a part of! *T&amp;Cs apply. #IWD2022 #BreakTheBias *Final entries (images) will be chosen by Basis &amp; will feature in our video release on March 8th, 2022. #Thread https://t.co/G7lu0jxzDJ",-,0
200163,en,"@womensday @guardian This is the year, yes to #BreakTheBias, Women, are to give and take equal opportunities at all levels and in all fields. It's all about ability, capability, and responsibility, we as women have same if not more.",-,0
200164,en,𝐇𝐚𝐩𝐩𝐲 𝐖𝐨𝐦𝐞𝐧'𝐬 𝐃𝐚𝐲 to all the lovely ladies 🌻. #V5Digital #Equality #WomensDay #celebratewomen #womenempowerment #HappyFriday https://t.co/KIWNg0yqOM,-,0
200165,en,Here’s some halftime Entertainmmt for y’all watching the @LadyVol_Hoops vs @LSUwbkb game… I still have nightmares about this block😋 #sylviafowles #brittanyjackson #LadyVols #lsu #blockedshot #halftime #tnvslsu #Vols #basketball #womensday #tennessee #patsummitt #TallGirl2 https://t.co/BLk0YZboiS,-,0
200166,en,Let's celebrate International @WomensDay 2022 and help to collectively #BreaktheBias for women around the world. https://t.co/gmRMpyA92K https://t.co/F9jx5SRTzt,-,0
200167,en,"Afghan women cannot be part of any sports including cricket as that would ""expose their bodies"", the Taliban#womensday #Taliban",JUDGEMENTAL,2
200168,en,"We wrote our song, Strong Woman, to celebrate the women in our lives and the achievements of women all over the world! #strongwoman #womenempowerment #womensday #inspiration https://t.co/a3Kk9NnpK4",-,0
